iter	F1	Logloss	Precision:use_weights=true	Precision:use_weights=false	Recall:use_weights=true	Recall:use_weights=false
30	0.7690161636	0.5450915648	0.6289819461	0.1450787402	0.989261745	0.989261745
31	0.7692170226	0.5444426921	0.6292507273	0.1452216749	0.989261745	0.989261745
32	0.7693174915	0.5440124364	0.6293852041	0.1452932479	0.989261745	0.989261745
33	0.7696190557	0.5433171164	0.6297889795	0.1455083909	0.989261745	0.989261745
34	0.769458192	0.5431866848	0.6295735682	0.1453935688	0.989261745	0.989261745
35	0.7705453284	0.5417002563	0.631030461	0.1461721539	0.989261745	0.989261745
36	0.7708075054	0.541027483	0.6313822021	0.146360838	0.989261745	0.989261745
37	0.7712902692	0.5406354989	0.6317566428	0.1465620032	0.9899328859	0.9899328859
38	0.7718761051	0.5393616919	0.6325431097	0.1469855506	0.9899328859	0.9899328859
39	0.772159241	0.5390570638	0.6329234846	0.1471908991	0.9899328859	0.9899328859
40	0.7722378047	0.5390219173	0.6327549249	0.1470998605	0.9906040268	0.9906040268
41	0.7720356395	0.5389516669	0.6324835105	0.146953405	0.9906040268	0.9906040268
42	0.7726019692	0.5381493254	0.6332440583	0.1473642173	0.9906040268	0.9906040268
43	0.7732612884	0.5366579818	0.6333080532	0.1473988439	0.9926174497	0.9926174497
44	0.7734434403	0.535833148	0.6335524562	0.1475311721	0.9926174497	0.9926174497
45	0.7736492607	0.5350779257	0.6341026572	0.1478295659	0.9919463087	0.9919463087
46	0.7741157137	0.5343522658	0.6347296121	0.1481704261	0.9919463087	0.9919463087
47	0.7749647166	0.5333222513	0.635596507	0.1486432161	0.9926174497	0.9926174497
48	0.7752696903	0.5326067288	0.6360069009	0.1488676397	0.9926174497	0.9926174497
49	0.7751273394	0.5322853707	0.6358153178	0.1487628244	0.9926174497	0.9926174497
50	0.7758599872	0.5309504054	0.6368018338	0.1493034525	0.9926174497	0.9926174497
51	0.7757377831	0.53093472	0.636637202	0.1492130751	0.9926174497	0.9926174497
52	0.776022986	0.5297774741	0.6370214755	0.1494241261	0.9926174497	0.9926174497
53	0.7764307827	0.5290154183	0.6375712431	0.1497266653	0.9926174497	0.9926174497
54	0.7767423666	0.5284362964	0.6382691159	0.1501117205	0.9919463087	0.9919463087
55	0.7774376335	0.5277855857	0.6392085914	0.1506318793	0.9919463087	0.9919463087
56	0.7776014067	0.5272787928	0.6394300465	0.150754794	0.9919463087	0.9919463087
57	0.7777447648	0.5264627662	0.6396239456	0.1508625089	0.9919463087	0.9919463087
58	0.7776074635	0.5262336272	0.6397174395	0.1509144784	0.9912751678	0.9912751678
59	0.7781956631	0.5253145207	0.6402341092	0.151202046	0.9919463087	0.9919463087
60	0.7787497535	0.5246271977	0.6409845393	0.1516208453	0.9919463087	0.9919463087
61	0.7793046335	0.5237861481	0.6417367306	0.152041971	0.9919463087	0.9919463087
62	0.7800869165	0.5231574097	0.6427983658	0.152638645	0.9919463087	0.9919463087
63	0.7806230684	0.5226053743	0.643526774	0.1530496013	0.9919463087	0.9919463087
64	0.7812426217	0.5219544075	0.6443692991	0.1535265399	0.9919463087	0.9919463087
65	0.7814700377	0.5216707193	0.6446787779	0.1537021631	0.9919463087	0.9919463087
66	0.7818514689	0.5209767193	0.6454823666	0.1541592736	0.9912751678	0.9912751678
67	0.7819550547	0.5207265915	0.6456235839	0.1542397661	0.9912751678	0.9912751678
