iter	F1	Logloss	Precision:use_weights=true	Precision:use_weights=false	Recall:use_weights=true	Recall:use_weights=false
100	0.8294365979	0.4599919113	0.7151239729	0.2008191126	0.9872483221	0.9872483221
101	0.8301863205	0.4592690768	0.7162393232	0.2017002605	0.9872483221	0.9872483221
102	0.830467816	0.4592094528	0.7166584771	0.2020326878	0.9872483221	0.9872483221
103	0.8303001349	0.4581665769	0.7171172595	0.2023973546	0.9859060403	0.9859060403
104	0.8313820079	0.4570093099	0.7187328386	0.2036882973	0.9859060403	0.9859060403
105	0.8324197751	0.4563758735	0.7199276364	0.2046498677	0.9865771812	0.9865771812
106	0.8337424394	0.4552733157	0.7215496738	0.2059647158	0.9872483221	0.9872483221
107	0.8355164306	0.4539419971	0.7234905632	0.207552487	0.988590604	0.988590604
108	0.8348806373	0.453173066	0.7236169716	0.2076564487	0.9865771812	0.9865771812
109	0.8353793089	0.452642796	0.7243665268	0.2082742987	0.9865771812	0.9865771812
110	0.8362831828	0.4517422485	0.7257268194	0.2094017094	0.9865771812	0.9865771812
111	0.8363784412	0.451404609	0.7258703053	0.2095210946	0.9865771812	0.9865771812
112	0.8369981503	0.4508174387	0.7268043488	0.2103004292	0.9865771812	0.9865771812
113	0.8376220454	0.4494423606	0.7281113468	0.2113973234	0.9859060403	0.9859060403
114	0.8385993335	0.4484289121	0.7292224224	0.2123356926	0.9865771812	0.9865771812
115	0.8386512001	0.4480269249	0.7296680446	0.2127135824	0.9859060403	0.9859060403
116	0.8395341894	0.4472991151	0.7306373809	0.2135386403	0.9865771812	0.9865771812
117	0.8399903875	0.4461971283	0.7313287107	0.2141296431	0.9865771812	0.9865771812
118	0.8410005869	0.4453360235	0.7328615656	0.2154477503	0.9865771812	0.9865771812
119	0.8416995248	0.4445662951	0.733923721	0.216367383	0.9865771812	0.9865771812
120	0.8420615004	0.4434724235	0.7344743207	0.2168461425	0.9865771812	0.9865771812
121	0.8433599526	0.4425523233	0.7360787642	0.2182492582	0.9872483221	0.9872483221
122	0.8452031826	0.4406498671	0.7388915745	0.2207382953	0.9872483221	0.9872483221
123	0.8449282747	0.4397823946	0.7392242974	0.2210352091	0.9859060403	0.9859060403
124	0.8450499087	0.4395736193	0.7394105253	0.2212016263	0.9859060403	0.9859060403
125	0.8461461925	0.4387441257	0.7410908077	0.2227107338	0.9859060403	0.9859060403
126	0.8478712689	0.4374424875	0.7433600053	0.2247706422	0.9865771812	0.9865771812
127	0.8488514555	0.4362223905	0.7448681945	0.2261538462	0.9865771812	0.9865771812
128	0.8493800544	0.4358918086	0.7452996793	0.226551671	0.9872483221	0.9872483221
129	0.8493800544	0.4358560869	0.7452996793	0.226551671	0.9872483221	0.9872483221
130	0.8506584123	0.4345470757	0.7472704402	0.2283806862	0.9872483221	0.9872483221
131	0.8513355062	0.4338438377	0.7479309544	0.2289981332	0.9879194631	0.9879194631
132	0.851126465	0.4337038879	0.7479931282	0.2290563687	0.9872483221	0.9872483221
133	0.8518303655	0.4325762509	0.7494679532	0.2304436432	0.9865771812	0.9865771812
134	0.8529403378	0.4320586718	0.7504118086	0.2313374195	0.9879194631	0.9879194631
135	0.8537574163	0.4306170153	0.7516776285	0.2325434439	0.9879194631	0.9879194631
136	0.8542683043	0.4296947133	0.752859859	0.2336775218	0.9872483221	0.9872483221
137	0.8559278505	0.4282054829	0.7546574778	0.2354163337	0.988590604	0.988590604
138	0.8556610632	0.4275158806	0.755025996	0.2357749639	0.9872483221	0.9872483221
139	0.8568167317	0.4264772096	0.7564335451	0.237151603	0.9879194631	0.9879194631
140	0.8585746612	0.4252207054	0.758782295	0.2394732564	0.988590604	0.988590604
141	0.8583993671	0.4251472302	0.7585085114	0.2392010393	0.988590604	0.988590604
142	0.8595526118	0.4240050808	0.7603112863	0.2410013089	0.988590604	0.988590604
143	0.8608096584	0.4223712441	0.762280569	0.2429891125	0.988590604	0.988590604
144	0.8617471743	0.4217016052	0.7633520709	0.2440801457	0.989261745	0.989261745
145	0.8619237186	0.4212744406	0.7636291747	0.2443633952	0.989261745	0.989261745
146	0.8626811572	0.4206064971	0.7648190447	0.2455848051	0.989261745	0.989261745
147	0.862600995	0.4196330143	0.765094543	0.2458688032	0.988590604	0.988590604
148	0.8626472327	0.4185276178	0.7655698439	0.2463598326	0.9879194631	0.9879194631
149	0.8634361285	0.417734047	0.7664095308	0.2472306143	0.988590604	0.988590604
150	0.8641967452	0.4169618069	0.7676089028	0.2484817814	0.988590604	0.988590604
151	0.8649587032	0.4160970365	0.7688120346	0.2497456765	0.988590604	0.988590604
152	0.8651849246	0.4155013514	0.7695763262	0.2505531915	0.9879194631	0.9879194631
153	0.8659491462	0.4145455403	0.770786461	0.2518391788	0.9879194631	0.9879194631
154	0.8666891782	0.4138101923	0.7719598811	0.2530949106	0.9879194631	0.9879194631
155	0.8673025756	0.412965072	0.7729336926	0.2541436464	0.9879194631	0.9879194631
