iter	F1	Logloss	Precision:use_weights=true	Precision:use_weights=false	Recall:use_weights=true	Recall:use_weights=false
0	0.7633469077	0.6631011252	0.6279614122	0.1445374801	0.9731543624	0.9731543624
1	0.7596365346	0.6519788167	0.6224063986	0.1416309013	0.9744966443	0.9744966443
2	0.7603931332	0.6278418802	0.6234229008	0.1421578226	0.9744966443	0.9744966443
3	0.7575107404	0.6152252326	0.6239774046	0.1424461859	0.9637583893	0.9637583893
4	0.7606390669	0.5991145057	0.6254146492	0.1431966726	0.9704697987	0.9704697987
5	0.7569186871	0.5970266704	0.6243019705	0.1426152774	0.9610738255	0.9610738255
6	0.7597204363	0.5851561263	0.6250092621	0.1429845422	0.9684563758	0.9684563758
7	0.7624487112	0.5751745925	0.6250876633	0.1430255403	0.9771812081	0.9771812081
8	0.7603160978	0.5744748808	0.6241458935	0.1425339367	0.9724832215	0.9724832215
9	0.764649952	0.5663287645	0.6263999761	0.1437137521	0.9812080537	0.9812080537
10	0.767992894	0.5604388188	0.627884466	0.1444967628	0.988590604	0.988590604
11	0.7690569373	0.5587920301	0.6298532947	0.1455426932	0.9872483221	0.9872483221
12	0.7693379828	0.5581547088	0.629684619	0.1454527501	0.988590604	0.988590604
13	0.7693167318	0.5578664384	0.6288420741	0.1450044209	0.9906040268	0.9906040268
14	0.769956226	0.5576045528	0.6286170982	0.1448849731	0.9932885906	0.9932885906
15	0.7692758923	0.5571971237	0.6282478793	0.1446891826	0.9919463087	0.9919463087
16	0.7698574871	0.5563585709	0.6290240484	0.1451011192	0.9919463087	0.9919463087
17	0.7691559419	0.5558284962	0.6283572674	0.144747158	0.9912751678	0.9912751678
18	0.7702410208	0.5537849975	0.630078141	0.1456626863	0.9906040268	0.9906040268
19	0.7708450156	0.552671841	0.630886893	0.1460952192	0.9906040268	0.9906040268
20	0.7722283552	0.5474403791	0.6316517941	0.1465056424	0.9932885906	0.9932885906
21	0.7722058485	0.5472145245	0.6313505982	0.1463438735	0.9939597315	0.9939597315
22	0.7716822548	0.5469447276	0.6306508973	0.1459688547	0.9939597315	0.9939597315
23	0.771803021	0.546546246	0.6308122291	0.1460552268	0.9939597315	0.9939597315
24	0.7722236497	0.5455901856	0.6311038951	0.1462115233	0.9946308725	0.9946308725
25	0.7725031617	0.5450165904	0.6312071309	0.1462668902	0.9953020134	0.9953020134
26	0.7724427458	0.5440257563	0.6311264626	0.1462236245	0.9953020134	0.9953020134
