iter	Passed	Remaining
0	31	63525
1	65	65179
2	96	64179
3	123	61713
4	141	56265
5	149	49739
6	183	52273
7	215	53752
8	224	49712
9	237	47219
10	269	48787
11	282	46851
12	317	48522
13	330	46886
14	352	46630
15	361	44775
16	394	46005
17	410	45242
18	442	46109
19	475	47077
20	507	47865
21	516	46443
22	545	46916
23	576	47469
24	607	48001
25	639	48557
26	670	49025
27	703	49533
28	735	50014
29	767	50413
30	800	50829
31	833	51273
32	867	51691
33	901	52151
34	942	52889
35	978	53405
36	1031	54732
37	1069	55208
38	1110	55822
39	1144	56102
40	1178	56322
41	1210	56422
42	1240	56459
43	1272	56550
44	1304	56665
45	1335	56733
46	1367	56808
47	1398	56891
48	1431	56980
49	1462	57035
50	1495	57139
51	1505	56385
52	1545	56792
53	1586	57190
54	1625	57473
55	1661	57695
56	1698	57892
57	1731	57982
58	1767	58133
59	1803	58324
60	1837	58419
61	1872	58518
62	1904	58563
63	1937	58613
64	1973	58755
65	2010	58925
66	2056	59324
67	2093	59483
68	2135	59761
69	2171	59879
70	2209	60030
71	2244	60109
72	2276	60095
73	2309	60120
74	2341	60109
75	2376	60154
76	2408	60161
77	2442	60175
78	2475	60206
79	2508	60211
80	2541	60208
81	2574	60206
82	2607	60212
83	2640	60217
84	2672	60209
85	2705	60214
86	2739	60239
87	2779	60397
88	2829	60757
89	2861	60723
90	2894	60712
91	2926	60683
92	2958	60674
93	2995	60743
94	3028	60728
95	3061	60719
96	3096	60745
97	3136	60882
98	3178	61041
99	3210	60992
100	3242	60967
101	3272	60900
102	3305	60883
103	3338	60867
104	3371	60843
105	3401	60774
106	3433	60743
107	3463	60679
108	3495	60648
109	3527	60607
110	3566	60688
111	3597	60641
112	3629	60613
113	3663	60602
114	3695	60576
115	3726	60526
116	3759	60508
117	3798	60588
118	3831	60561
119	3862	60520
120	3894	60476
121	3926	60435
122	3959	60417
123	3991	60384
124	4023	60351
125	4055	60310
126	4085	60260
127	4117	60215
128	4148	60166
129	4180	60138
130	4214	60124
131	4245	60084
132	4277	60041
133	4311	60037
134	4344	60012
135	4375	59976
136	4409	59962
137	4442	59946
138	4476	59937
139	4510	59930
140	4543	59900
141	4577	59890
142	4609	59860
143	4644	59866
144	4677	59843
145	4710	59820
146	4746	59829
147	4780	59819
148	4826	59952
149	4860	59948
150	4894	59929
151	4926	59898
152	4958	59864
153	4990	59826
154	5022	59787
155	5055	59754
156	5088	59727
157	5122	59716
158	5172	59889
159	5203	59845
160	5235	59796
161	5268	59773
162	5317	59930
163	5350	59895
164	5397	60024
165	5429	59990
