iter	Logloss	Accuracy
0	0.5979873718	0.9081470624
1	0.5295338739	0.9081470624
2	0.4753900689	0.9081470624
3	0.4368348853	0.9081470624
4	0.4070526088	0.9081470624
5	0.3841035698	0.9081470624
6	0.3647678324	0.9081470624
7	0.3476856451	0.9081470624
8	0.337265957	0.9081470624
9	0.327028509	0.9081470624
10	0.3073694454	0.9081470624
11	0.3033968725	0.9081470624
12	0.2990170006	0.9081470624
13	0.296585576	0.9081470624
14	0.2918157324	0.9081470624
15	0.2903814721	0.9081470624
16	0.276409806	0.9081470624
17	0.2757292864	0.9081470624
18	0.2743892628	0.9081470624
19	0.2732936511	0.9081470624
20	0.2718184897	0.9081470624
21	0.2716492288	0.9081470624
22	0.2710721365	0.9081470624
23	0.2705694434	0.9081470624
24	0.2691197161	0.9081470624
25	0.2627644975	0.9081470624
26	0.2621668772	0.9081470624
27	0.26113627	0.9081470624
28	0.2602458478	0.9081470624
29	0.2578473812	0.9081470624
30	0.2543341487	0.9081470624
31	0.253689948	0.9081470624
32	0.2531007356	0.9081470624
33	0.2522232105	0.9081470624
34	0.2515369004	0.9081470624
35	0.251116449	0.9081470624
36	0.2505263367	0.9081470624
37	0.2494261866	0.9081470624
38	0.2491247682	0.9081470624
39	0.2485547533	0.9081470624
40	0.2482409939	0.9081470624
41	0.2477520049	0.9082081348
42	0.2471928746	0.9082081348
43	0.2468102764	0.9082081348
44	0.2461656591	0.9082692073
45	0.2456238703	0.9083913521
46	0.2452062391	0.9083913521
47	0.2448738097	0.9084524246
48	0.2433587038	0.908513497
49	0.2427029435	0.9085745694
50	0.2422073073	0.9085745694
51	0.2422037003	0.9085745694
52	0.240920376	0.9085745694
53	0.240266257	0.9086356419
54	0.2394285723	0.9086967143
55	0.2388048078	0.9090631489
56	0.2379113023	0.9091242213
57	0.2372411548	0.9091242213
58	0.236709091	0.9091242213
59	0.2364410508	0.9091242213
60	0.2356195257	0.9091242213
61	0.2350485916	0.9092463662
62	0.2344753525	0.9091852938
63	0.2342068348	0.9092463662
64	0.2341023724	0.9092463662
65	0.2329292195	0.9092463662
66	0.2325333164	0.9093685111
67	0.2318120434	0.9093685111
68	0.2316619356	0.9093685111
69	0.2309204694	0.9094295835
70	0.2298481029	0.9094295835
71	0.2295625894	0.9095517283
72	0.2294558208	0.9095517283
73	0.2288914896	0.9095517283
74	0.22822269	0.9096128008
75	0.227526065	0.9096738732
76	0.226940539	0.9097349456
77	0.2260721608	0.9097349456
78	0.2252499666	0.9097960181
79	0.2245609781	0.9099792354
