iter	Logloss	Accuracy
0	0.5185197162	0.9081470624
1	0.4256958822	0.9081470624
2	0.3704165049	0.9081470624
3	0.3412197967	0.9081470624
4	0.3168917904	0.9081470624
5	0.2969479172	0.9081470624
6	0.290898497	0.9081470624
7	0.2839300075	0.9081470624
8	0.279749208	0.9081470624
9	0.2783354102	0.9081470624
10	0.2635020685	0.9081470624
11	0.2619495496	0.9081470624
12	0.2607788688	0.9081470624
13	0.2591652037	0.9081470624
14	0.2574483183	0.9081470624
15	0.2574139807	0.9081470624
16	0.256297561	0.9081470624
17	0.2512858156	0.9081470624
18	0.2502781385	0.9083302797
19	0.2494478043	0.9082692073
20	0.2480761001	0.9083302797
21	0.2448010315	0.9083913521
22	0.242493612	0.908513497
23	0.241896022	0.908513497
24	0.2385782583	0.908941004
25	0.2375436429	0.908941004
26	0.2367445599	0.908941004
27	0.2360197572	0.908941004
28	0.2308870496	0.9101013802
29	0.2304028142	0.91034567
30	0.2294327848	0.9104067424
31	0.2287042766	0.9105899597
32	0.2277633977	0.9107121046
33	0.2263146665	0.9108953219
34	0.2250636746	0.9109563943
35	0.2241550136	0.911200684
36	0.2232032402	0.911200684
37	0.2218912077	0.9113228289
38	0.2207209216	0.9114449737
39	0.2190862654	0.9116892635
40	0.2181736156	0.9118724808
41	0.2172639097	0.9119335532
42	0.2165855702	0.9126664224
43	0.2153214331	0.9127274948
44	0.2144215182	0.9131550018
45	0.2131151257	0.9132160743
46	0.2084256266	0.9135214364
47	0.2077420559	0.9137657262
48	0.2067476508	0.9140710883
49	0.205680778	0.914315378
50	0.2036042788	0.9146818126
51	0.2019801403	0.9148650299
52	0.2009802994	0.9155368267
53	0.1999770278	0.9159032613
54	0.1988994409	0.9162086234
55	0.1983011484	0.9162696959
56	0.1969619131	0.917002565
57	0.1961319355	0.9174300721
58	0.1954992377	0.9178575791
59	0.194401896	0.9176743618
60	0.193323015	0.9177354342
61	0.1924285849	0.9182850861
62	0.1907765811	0.9185904483
63	0.1901270003	0.9192011726
64	0.1889277742	0.9198118969
65	0.1881719913	0.9199340418
66	0.1872944899	0.920666911
67	0.1862691421	0.9212165628
68	0.1858335613	0.9213387077
69	0.1850408328	0.9214608526
70	0.1841281243	0.921949432
71	0.1831596255	0.9227433736
72	0.182304142	0.9229265909
73	0.1819217598	0.9232319531
74	0.1810033043	0.9237205326
75	0.1798751828	0.9243312569
76	0.178959319	0.9251251985
77	0.1779475201	0.9253084158
78	0.1767208968	0.9259802125
79	0.1758432232	0.9263466471
80	0.1749229394	0.9266520093
81	0.1743109514	0.9266520093
82	0.17364708	0.9268352266
83	0.1732492397	0.9272627336
84	0.1721738166	0.9274459509
85	0.1713416923	0.9280566752
86	0.1702965798	0.9285452547
87	0.1692813217	0.9289116893
