iter	Logloss
0	0.4688352146
1	0.3739846525
2	0.3209422402
3	0.2975891651
4	0.2894667345
5	0.2663830603
6	0.2636897012
7	0.2636036902
8	0.2633661623
9	0.2606919191
10	0.2595782353
11	0.2577983228
12	0.2560372077
13	0.2541621935
14	0.2524742872
15	0.2508749555
16	0.2495242133
17	0.2470385493
18	0.2450802504
19	0.2436605928
20	0.2421693422
21	0.2416907298
22	0.2395398649
23	0.2371531958
24	0.2349402775
25	0.2337506938
26	0.2322757434
27	0.2313251827
28	0.2291368374
29	0.2281842871
30	0.2263804845
31	0.2247450839
32	0.2237177169
33	0.2215213123
34	0.2196331938
35	0.2175424873
36	0.2161506538
37	0.2139617984
38	0.211502587
39	0.2093918227
40	0.2071407152
41	0.2058191449
42	0.2049384342
43	0.2036777238
44	0.2014948866
45	0.2005139942
46	0.1988172526
47	0.1977363975
48	0.1964427389
49	0.1951264975
50	0.1934652982
51	0.1916945281
52	0.1911762502
53	0.1894389822
54	0.1871564448
55	0.1855867162
56	0.1842892018
57	0.1823681808
58	0.1793934202
59	0.1780936161
60	0.1757388462
61	0.1738776781
62	0.171965776
63	0.1705024946
64	0.1697370652
65	0.1693559176
66	0.1677425327
67	0.1667979364
68	0.1658057596
69	0.1647671364
70	0.1630197812
71	0.1617423389
72	0.1598376698
73	0.1584201461
74	0.156917004
75	0.1554171414
76	0.1535734394
77	0.1523509247
78	0.1511989056
79	0.1504339767
80	0.1497332648
81	0.1488371644
82	0.1480176159
83	0.1471091775
84	0.1456917065
85	0.145393263
86	0.1447805555
87	0.1436962634
88	0.1424510497
89	0.1415197233
90	0.1408127649
91	0.1396338836
92	0.1382605536
93	0.1370621637
94	0.1357685209
95	0.1347288449
96	0.1333631797
97	0.132340046
98	0.1317332984
99	0.1309930903
100	0.1302030991
101	0.1298571228
102	0.1286444653
103	0.1273984928
104	0.1256222189
105	0.1248235858
106	0.124485944
107	0.1238202338
108	0.1231479775
109	0.122596633
110	0.1214889621
111	0.1199644727
112	0.1188449531
113	0.1177624175
114	0.1166657795
115	0.1159864147
116	0.1155901891
117	0.1149657227
118	0.1143751841
119	0.113414478
120	0.1125984751
121	0.11171668
122	0.11085065
123	0.110258539
124	0.1088305293
125	0.1082836599
126	0.1073873616
127	0.1064646297
128	0.1057171448
129	0.1053569936
130	0.1051458097
131	0.1043969834
132	0.1041789517
133	0.1033321089
134	0.1025931506
135	0.102038535
136	0.1016966256
137	0.1007303628
138	0.1000021969
139	0.09929469533
140	0.09879043156
141	0.09785158733
142	0.09733637663
143	0.09616019369
144	0.09556101118
145	0.09529973424
146	0.09506780853
147	0.0942156245
148	0.09368617754
149	0.09303862544
150	0.09207153917
151	0.09131020095
152	0.09038120198
153	0.09014246615
154	0.08990948272
155	0.08772705452
156	0.08722177377
157	0.0862417026
158	0.08548690838
159	0.08516461271
160	0.08435657894
161	0.08400871864
162	0.08393157864
163	0.08325194774
164	0.0826006234
165	0.0824057244
166	0.0819350357
167	0.08186461558
168	0.08144847284
169	0.08069915796
170	0.08023231318
171	0.07954640973
172	0.07902832563
173	0.0790248955
174	0.07844034012
175	0.07792634872
176	0.07757736451
177	0.0773956798
178	0.07698572495
179	0.07653451775
180	0.0759615524
181	0.07567110909
182	0.07513815596
183	0.07486956886
184	0.07429451442
185	0.07398008514
186	0.07337175635
187	0.07282624453
188	0.07234519318
189	0.071818114
190	0.0712906135
191	0.07087079685
192	0.07020511057
193	0.069700371
194	0.06918423452
195	0.06874693914
196	0.06818813807
197	0.06754528671
198	0.06707730419
199	0.06681039934
200	0.06662946491
201	0.06598907791
202	0.06566022745
203	0.06528486998
204	0.06511443754
205	0.06499180989
206	0.06472833928
207	0.06430301113
208	0.06398455126
209	0.06353378744
210	0.06293323311
211	0.06249434155
212	0.06222009837
213	0.06192407195
214	0.0615848365
215	0.06128163954
216	0.06108279857
217	0.06070463262
218	0.06051120331
219	0.06024690718
220	0.05973374476
221	0.05913960968
222	0.05863785745
223	0.05819384498
224	0.05788909974
225	0.05765013865
226	0.05733442149
227	0.05703851196
228	0.05663828636
229	0.05660846065
230	0.05627106229
231	0.05610543445
232	0.05534780371
233	0.05493115329
234	0.05456742746
235	0.05437322725
236	0.05398427958
237	0.05365660282
238	0.05357263383
239	0.0531609801
240	0.0527595601
241	0.05253760439
242	0.0522468519
243	0.05201855623
244	0.05175969446
245	0.05140808767
246	0.05097286872
247	0.05055353951
248	0.05014007299
249	0.04988247708
250	0.04962161853
251	0.04942244335
252	0.0489198022
253	0.04859073406
254	0.0485262528
255	0.04826108651
256	0.04798230088
257	0.04784527656
258	0.04743415057
259	0.04717314234
260	0.04690120556
261	0.04665772668
262	0.04631691251
263	0.04602366818
264	0.04587174543
265	0.04576096473
266	0.0456240567
267	0.04535692728
268	0.04526680767
269	0.04514911166
270	0.04470205798
271	0.04443967494
272	0.04400266453
273	0.04395179546
274	0.04360115692
275	0.04331609553
276	0.0432112136
277	0.04307887341
278	0.04303570113
279	0.04277549823
280	0.04240480211
281	0.04227452125
282	0.04180892039
283	0.04154593464
284	0.04127196707
285	0.04108323905
286	0.04076165071
287	0.04040529454
288	0.04016824731
289	0.03984518573
290	0.03973983484
291	0.039523913
292	0.03923763723
293	0.03899155886
294	0.03866425096
295	0.03845251629
296	0.03823529374
297	0.03793890157
298	0.0378136269
299	0.03771671297
300	0.03758339238
301	0.03733843104
302	0.03722378389
303	0.03712361901
304	0.03704899659
305	0.0370290403
306	0.03688278752
307	0.03664642392
308	0.03649094371
309	0.03631106176
310	0.03599381963
311	0.03572993725
312	0.03549514139
313	0.0351169027
314	0.03508288974
315	0.03495235183
316	0.03460333353
317	0.03446397155
318	0.03429228547
319	0.03403815697
320	0.03382124104
321	0.03366490036
322	0.03351676379
323	0.03335078009
324	0.03314385403
325	0.03302843823
326	0.03289629775
327	0.03278562813
328	0.03251457533
329	0.03228699989
330	0.03199230408
331	0.0319286229
332	0.03178184307
333	0.03140521514
334	0.03129375883
335	0.03118424844
336	0.03101719485
337	0.03086304449
338	0.03070143043
339	0.03052212789
340	0.03036587501
341	0.03021742077
342	0.03009502866
343	0.03003229095
344	0.02987652768
345	0.02965405308
346	0.02943095207
347	0.02917193919
348	0.029045504
349	0.02887423921
350	0.02884153846
351	0.02880287167
352	0.0285896579
353	0.02845447736
354	0.02819242314
355	0.02804479659
356	0.02786272811
357	0.02762402346
358	0.02742304018
359	0.0271695735
360	0.027033511
361	0.02685328921
362	0.02670299494
363	0.02652162314
364	0.02640949122
365	0.02621289665
366	0.02602939411
367	0.02595696415
368	0.02585798182
369	0.02570946398
370	0.02553264432
371	0.02531713675
372	0.02518752613
373	0.02510926628
374	0.02499190574
375	0.02490109933
376	0.02475409452
377	0.02471160091
378	0.02455779878
379	0.02439980415
380	0.02423067324
381	0.02407438945
382	0.02395112123
383	0.02388593092
384	0.02372270108
385	0.02363931019
386	0.02361251755
387	0.02354135871
388	0.02341339099
389	0.02331894548
390	0.02315790902
391	0.02306285795
392	0.02300891575
393	0.02285661147
394	0.02273638793
395	0.02260935621
396	0.02249086764
397	0.02236634443
398	0.02218733216
399	0.02212801139
400	0.02202815431
401	0.02193764882
402	0.02184805226
403	0.02179876529
404	0.02170328996
405	0.02160014988
406	0.0215005119
407	0.02138189623
408	0.02131521313
409	0.02128376984
410	0.0212363517
411	0.0210755234
412	0.02102741725
413	0.02095889942
414	0.0209188766
415	0.02085891105
416	0.02074700724
417	0.02065899775
418	0.02057155541
419	0.020504138
420	0.02041238211
421	0.02030980313
422	0.0202211615
423	0.02013666244
424	0.02000462773
425	0.01987230461
426	0.01983004293
427	0.01974835225
428	0.01971257521
429	0.01968129105
430	0.01948331334
431	0.01937126499
432	0.01927330493
433	0.01922467633
434	0.01912141794
435	0.01906582429
436	0.0188807259
437	0.01882659198
438	0.01869762265
439	0.01860257088
440	0.01853699483
441	0.01849864442
442	0.01842953343
443	0.01837529706
444	0.01837048318
445	0.01826975804
446	0.0182019661
447	0.01815912709
448	0.01810799104
449	0.01799746705
450	0.01789803801
451	0.01784540678
452	0.01775518189
453	0.01773286251
454	0.01761492044
455	0.01757478228
456	0.01755107576
457	0.01744530412
458	0.0173568047
459	0.01722927571
460	0.01716383694
461	0.01714901959
462	0.01706124826
463	0.01697578474
464	0.01688602859
465	0.01672840043
466	0.01664509349
467	0.01658653049
468	0.01657160317
469	0.01645362053
470	0.01638265224
471	0.01635170947
472	0.01628382118
473	0.01622877132
474	0.01611019422
475	0.01601860917
476	0.015943055
477	0.01588760025
478	0.01580724421
479	0.01575388002
480	0.01567802209
481	0.01558453125
482	0.01551644864
483	0.01550147764
484	0.01542038961
485	0.01537106015
486	0.01528173276
487	0.01524248168
488	0.01522526858
489	0.01519125471
490	0.01515124999
491	0.01510700286
492	0.01505834113
493	0.01495619964
494	0.01482923977
495	0.01476783588
496	0.01473544601
497	0.01468216173
498	0.01459679262
499	0.01457986474
500	0.01453416345
501	0.01448044143
502	0.01447621203
503	0.01440987371
504	0.01436440196
505	0.01433664702
506	0.01426087045
507	0.01414718021
508	0.01411484328
509	0.01404759241
510	0.01401774654
511	0.01396540286
512	0.01392011743
513	0.01384304129
514	0.0137678879
515	0.01366140336
516	0.0136274784
517	0.01357317533
518	0.01350372374
519	0.01344466312
520	0.01337116404
521	0.01334544867
522	0.01325255775
523	0.01319552027
524	0.01313461479
525	0.01308707342
526	0.0130211999
527	0.01296861862
528	0.01292883628
529	0.01286877208
530	0.01283235098
531	0.01273485148
532	0.01267806357
533	0.0126292101
534	0.01259152732
535	0.01256602324
536	0.01255162054
537	0.0125343503
538	0.01249481307
539	0.01247075398
540	0.01245814823
541	0.01240987268
542	0.01236654574
543	0.01230346625
544	0.01226247526
545	0.01222389039
546	0.01217374026
547	0.01210434937
548	0.01208775418
549	0.0120704793
550	0.01203326889
551	0.01200458955
552	0.01191368393
553	0.01186513989
554	0.01179337009
555	0.01178170069
556	0.01175005065
557	0.01170618399
558	0.01166207434
559	0.01161463192
560	0.01157892348
561	0.01157594252
562	0.011548014
563	0.01154169037
564	0.01150865311
565	0.01149196129
566	0.01146353699
567	0.01144734843
568	0.01140216027
569	0.01135335678
570	0.01127516048
571	0.01121090951
572	0.01116651784
573	0.01113663649
574	0.01106388577
575	0.01104944792
576	0.01101391096
577	0.01097412997
578	0.01097188226
579	0.01096171749
580	0.01094092842
581	0.0109176326
582	0.01082218022
583	0.0107639625
584	0.01074445457
585	0.01070577554
586	0.01068322465
587	0.01066647018
588	0.01063252298
589	0.01060630614
590	0.01058711708
591	0.01051188482
592	0.01050456557
593	0.01049430342
594	0.01046020305
595	0.0104152918
596	0.0103669045
597	0.0103203441
598	0.01029391231
599	0.01022929553
600	0.0101987775
601	0.01008881196
602	0.01006946683
603	0.01003075616
604	0.01000423857
605	0.009985887906
606	0.009962220164
607	0.00993499699
608	0.009901707569
609	0.009877418055
610	0.009851047705
611	0.009822005918
612	0.009810880695
613	0.00980723995
614	0.009790705681
615	0.009765058602
616	0.00969809809
617	0.009677251157
618	0.009676680274
619	0.009619800008
620	0.00959758742
621	0.009580946163
622	0.009557362696
623	0.009541778095
624	0.009526143482
625	0.009489038998
626	0.009469751022
627	0.009436640252
628	0.009389056335
629	0.009346752425
630	0.009284251174
631	0.009270095355
632	0.009207158763
633	0.009160986814
634	0.009150351191
635	0.009146642843
636	0.009126209506
637	0.009083150151
638	0.00904417211
639	0.00902053953
640	0.008976241225
641	0.0089477413
642	0.008917105154
643	0.008911965631
644	0.008897416264
645	0.008848385127
646	0.008832579071
647	0.008774591478
648	0.008740190927
649	0.008717532656
650	0.008681602347
651	0.008599768214
652	0.008574263744
653	0.008532457466
654	0.008489033099
655	0.008446861376
656	0.00843950514
657	0.008429283502
658	0.008394776989
659	0.008363371956
660	0.008353837422
661	0.008349630181
662	0.00834363555
663	0.008274450083
664	0.008239098645
665	0.008209992018
666	0.00820254441
667	0.008151746237
668	0.00812432141
669	0.008083035148
670	0.008061437235
671	0.008033895921
672	0.008017228066
673	0.007975974855
674	0.007956159248
675	0.007927711734
676	0.007904203146
677	0.007890819486
678	0.007822462098
679	0.007779616862
680	0.007769637016
681	0.00773057296
682	0.007707344036
683	0.007652787578
684	0.007642003884
685	0.007599239474
686	0.007581930178
687	0.007559942686
688	0.007514941502
689	0.007470504784
690	0.00744161393
691	0.007414302964
692	0.007382434803
693	0.007375720731
694	0.007360434232
695	0.007357871154
696	0.00732325441
697	0.007306735748
698	0.007297768706
699	0.007278949877
700	0.007265003495
701	0.007246748299
702	0.007201029826
703	0.007154422193
704	0.007128713372
705	0.007094682587
706	0.007079692155
707	0.0070699839
708	0.007046009658
709	0.007011825317
710	0.006992638293
711	0.006984905405
712	0.006966745892
713	0.006944921537
714	0.006926155779
715	0.006897689566
716	0.006887067535
717	0.00687155933
718	0.006837770019
719	0.006821154149
720	0.00678102251
721	0.006760431871
722	0.006738047034
723	0.006710014737
724	0.006700093023
725	0.006690128679
726	0.006672369407
727	0.006667941927
728	0.006666847684
729	0.006648339067
730	0.006608271928
731	0.006587513947
732	0.006555013439
733	0.006533681881
734	0.006530137073
735	0.00651932784
736	0.006488779658
737	0.006480590186
738	0.006472921553
739	0.00644996511
740	0.00644063533
741	0.006424001704
742	0.006386773462
743	0.006372977526
744	0.006343493469
745	0.006323506624
746	0.006301301125
747	0.006280612306
748	0.006277239845
749	0.006272487978
750	0.006270274538
751	0.006249144017
752	0.006215007197
753	0.006201059927
754	0.006186360726
755	0.006161463574
756	0.006145735401
757	0.006140605609
758	0.006120679384
759	0.006101733449
