iter	Logloss
0	0.4675301041
1	0.3723774782
2	0.3192985853
3	0.2954817986
4	0.2874960072
5	0.2678862078
6	0.2659106708
7	0.2657358203
8	0.2645835527
9	0.2624539211
10	0.2605571411
11	0.2582696155
12	0.2561758273
13	0.2554381901
14	0.2526061807
15	0.2516078798
16	0.2493276699
17	0.2487789896
18	0.2467114107
19	0.2449083595
20	0.2411286462
21	0.238514542
22	0.2302647196
23	0.2301715183
24	0.2290805397
25	0.2278059403
26	0.2259510797
27	0.2204790271
28	0.2186330446
29	0.2170377675
30	0.2160664017
31	0.2146136912
32	0.2127717517
33	0.2117590624
34	0.2102070902
35	0.2082269851
36	0.2077583929
37	0.2061796908
38	0.2039827525
39	0.2024840206
40	0.2008324724
41	0.1988828493
42	0.1972230934
43	0.1952257721
44	0.1933074552
45	0.1915421064
46	0.1894843888
47	0.1876594504
48	0.1871798645
49	0.1865243454
50	0.1851258355
51	0.1833289559
52	0.1813780552
53	0.1811924352
54	0.1801196424
55	0.1779546784
56	0.1763593004
57	0.1760701878
58	0.1751273587
59	0.1735151142
60	0.172186627
61	0.1701017629
62	0.1690946963
63	0.1681243803
64	0.1666841131
65	0.1654286551
66	0.1636018423
67	0.1625082526
68	0.1611522913
69	0.1600386114
70	0.1586362706
71	0.1581053147
72	0.1563676858
73	0.154359409
74	0.1531788142
75	0.152250123
76	0.1514780476
77	0.1505139137
78	0.1495918158
79	0.1489573709
80	0.1483680591
81	0.1473814675
82	0.1461684475
83	0.1453106546
84	0.1446893565
85	0.1432389517
86	0.1424821016
87	0.1409649465
88	0.1400646908
89	0.1386715333
90	0.1374404144
91	0.1371198311
92	0.1363675404
93	0.135583739
94	0.1345413623
95	0.1335320726
96	0.1324837508
97	0.1315547731
98	0.1301637945
99	0.1297317818
100	0.128574822
101	0.1273977882
102	0.126498458
103	0.1258708249
104	0.125562656
105	0.1252001499
106	0.124506362
107	0.1234658205
108	0.1223859688
109	0.1217894125
110	0.1213694046
111	0.1210144064
112	0.119948451
113	0.1188009949
114	0.117875521
115	0.1167313096
116	0.1160066957
117	0.1145992372
118	0.11363639
119	0.1125315876
120	0.1118566258
121	0.1105672111
122	0.1098114278
123	0.1089156421
124	0.1082029577
125	0.1073635563
126	0.1064156581
127	0.105839241
128	0.1046628153
129	0.1038163486
130	0.1032221269
131	0.1027842879
132	0.1020499066
133	0.1013431317
134	0.1004437476
135	0.09964487494
136	0.09908949154
137	0.09850545019
138	0.09793842089
139	0.0975581349
140	0.09649678413
141	0.09594307966
142	0.09474264525
143	0.09389204419
144	0.0933684185
145	0.09295472729
146	0.0923260274
147	0.09148167875
148	0.09089284794
149	0.08978212421
150	0.08924946211
151	0.08854383771
152	0.08804288682
153	0.08760640247
154	0.08723705853
155	0.08678260157
156	0.08610540036
157	0.08539311887
158	0.08519870628
159	0.08460602786
160	0.08403600622
161	0.08345646033
162	0.08262245875
163	0.08198740593
164	0.08116581829
165	0.08087864809
166	0.08012708725
167	0.07940831177
168	0.079040956
169	0.07856064839
170	0.07818005456
171	0.07757613786
172	0.07712192206
173	0.0763881908
174	0.07586231267
175	0.07549788409
176	0.07503819235
177	0.07468359281
178	0.07415239754
179	0.07393380275
180	0.07368280477
181	0.07306732513
182	0.07289923571
183	0.07251802203
184	0.07198564285
185	0.07161900803
186	0.07121848596
187	0.0709451611
188	0.07073101948
189	0.07034779287
190	0.07025332223
191	0.06992504579
192	0.06935401546
193	0.06924125983
194	0.06870990028
195	0.06828303543
196	0.06808205904
197	0.06795570009
198	0.06764358182
199	0.06756465722
200	0.06694190351
201	0.06650567399
202	0.06617419721
203	0.06580963299
204	0.06560680999
205	0.06520528562
206	0.06518874071
207	0.06500242475
208	0.06445494597
209	0.06396352945
210	0.06331713032
211	0.06268912207
212	0.0621711231
213	0.06180261546
214	0.06151063868
215	0.0612260449
216	0.06079016412
217	0.06036731508
218	0.05982580855
219	0.05936521302
220	0.05883506019
221	0.05852224579
222	0.05798888159
223	0.05773239705
224	0.05730299359
225	0.05701600369
226	0.05666974537
227	0.05634824732
228	0.05613672903
229	0.05584048249
230	0.05548621289
231	0.05517059911
232	0.05478414874
233	0.0545874781
234	0.05421040298
235	0.0538501005
236	0.05366635167
237	0.05365292403
238	0.05316571126
239	0.05288212512
240	0.0524039537
241	0.05187028425
242	0.05155559814
