iter	F1	Logloss	Precision	Recall
0	0	0.6362679981	1	0
1	0	0.5875013518	1	0
2	0	0.5420895351	1	0
3	0	0.5073601671	1	0
4	0	0.4744310524	1	0
5	0	0.4483315743	1	0
6	0	0.4239873354	1	0
7	0	0.4063234671	1	0
8	0	0.3911424292	1	0
9	0	0.3604832083	1	0
10	0	0.3503591075	1	0
11	0	0.3420199423	1	0
12	0	0.3253825471	1	0
13	0	0.3194681351	1	0
14	0	0.3144365785	1	0
15	0	0.3105110705	1	0
16	0	0.3070946391	1	0
17	0	0.30315918	1	0
18	0	0.2983640916	1	0
19	0	0.296228527	1	0
20	0	0.2944404007	1	0
21	0	0.2915323019	1	0
22	0	0.2902120639	1	0
23	0	0.2876350183	1	0
24	0	0.2854390434	1	0
25	0	0.2830489192	1	0
26	0	0.2757806107	1	0
27	0	0.2748512426	1	0
28	0	0.2739976283	1	0
29	0	0.2723123401	1	0
30	0	0.2720461104	1	0
31	0	0.2715173726	1	0
32	0	0.2713233361	1	0
33	0	0.2706521773	1	0
34	0	0.267488689	1	0
35	0	0.2648880263	1	0
36	0	0.2645511168	1	0
37	0	0.2640299877	1	0
38	0	0.2635782272	1	0
39	0	0.2626353686	1	0
40	0	0.2621799416	1	0
41	0	0.2603209063	1	0
42	0	0.2597489227	1	0
43	0	0.2593397018	1	0
44	0	0.2588445859	1	0
45	0	0.2581171101	1	0
46	0	0.2571101186	1	0
47	0	0.2565537355	1	0
48	0	0.2562268984	1	0
49	0	0.2559248307	1	0
50	0	0.2556241162	1	0
51	0	0.2550717351	1	0
52	0	0.2523766312	1	0
53	0	0.2518494209	1	0
54	0	0.2515460402	1	0
55	0	0.2508970563	1	0
56	0	0.2503683155	1	0
57	0	0.2501052879	1	0
58	0	0.2498831056	1	0
59	0	0.2495905112	1	0
60	0	0.2491199716	1	0
61	0	0.24898496	1	0
62	0	0.2484708405	1	0
63	0	0.2481528532	1	0
64	0	0.247852345	1	0
65	0	0.2476326795	1	0
66	0	0.2474386174	1	0
67	0	0.2467820871	1	0
68	0	0.2463780878	1	0
69	0.001341381623	0.2460458017	1	0.0006711409396
70	0.001341381623	0.2457165949	1	0.0006711409396
