iter	Passed	Remaining
0	32	64244
1	66	66747
2	101	67603
3	136	68278
4	148	59445
5	185	61502
6	220	62877
7	257	64127
8	294	65092
9	329	65657
10	366	66196
11	401	66471
12	437	66830
13	493	69980
14	532	70406
15	566	70217
16	603	70373
17	637	70238
18	672	70140
19	708	70168
20	743	70084
21	779	70107
22	815	70094
23	850	70042
24	887	70115
25	927	70389
26	963	70393
27	1000	70455
28	1035	70406
29	1072	70410
30	1109	70494
31	1146	70486
32	1182	70511
33	1219	70514
34	1288	72339
35	1323	72218
36	1357	72019
37	1391	71836
38	1428	71845
39	1470	72031
40	1508	72096
41	1545	72050
42	1582	72013
43	1619	72005
44	1657	71989
45	1693	71940
46	1729	71886
47	1765	71804
48	1800	71707
49	1837	71651
50	1874	71617
51	1910	71577
52	1948	71578
53	1984	71498
54	2020	71448
55	2057	71414
56	2092	71335
57	2127	71239
58	2160	71077
59	2193	70935
60	2229	70865
61	2265	70826
62	2302	70806
63	2339	70771
64	2376	70744
65	2413	70732
66	2449	70676
67	2485	70621
68	2521	70575
69	2558	70545
70	2595	70513
71	2636	70591
72	2672	70537
73	2707	70480
74	2745	70463
75	2780	70392
76	2815	70324
77	2852	70283
78	2889	70263
79	2928	70282
80	2965	70248
81	3002	70219
82	3038	70180
83	3074	70118
84	3109	70059
85	3145	70000
86	3180	69942
87	3216	69875
88	3251	69815
89	3287	69766
90	3323	69720
91	3358	69657
92	3395	69631
93	3432	69598
94	3468	69557
95	3504	69496
96	3538	69425
97	3574	69370
98	3610	69328
99	3646	69277
100	3681	69228
101	3717	69170
102	3754	69152
103	3791	69122
104	3828	69094
105	3864	69047
106	3900	69003
107	3935	68941
108	3971	68894
109	4007	68849
110	4041	68781
111	4077	68741
112	4112	68679
113	4150	68658
114	4186	68622
115	4224	68617
116	4265	68649
117	4304	68651
118	4349	68754
119	4394	68844
120	4442	68989
121	4482	68994
122	4519	68975
123	4562	69019
124	4603	69052
125	4645	69087
126	4685	69099
127	4728	69148
128	4769	69171
129	4811	69215
130	4854	69255
131	4892	69234
132	4930	69206
133	4968	69192
134	5007	69176
135	5046	69162
136	5095	69284
137	5135	69291
138	5178	69336
139	5217	69324
140	5259	69337
141	5299	69341
142	5341	69359
143	5381	69357
144	5419	69332
145	5457	69305
146	5495	69269
147	5534	69254
148	5592	69477
149	5633	69474
150	5680	69557
151	5716	69495
152	5753	69452
153	5790	69414
154	5826	69359
155	5863	69309
156	5899	69253
157	5936	69214
158	5972	69154
159	6009	69103
160	6044	69040
161	6078	68968
162	6115	68916
163	6150	68852
164	6185	68794
165	6221	68734
166	6256	68669
167	6292	68619
168	6328	68566
169	6363	68504
170	6399	68449
171	6435	68395
172	6470	68332
173	6504	68264
174	6540	68205
175	6575	68145
176	6612	68108
177	6649	68065
178	6685	68013
179	6722	67972
180	6758	67917
181	6794	67869
182	6829	67812
183	6866	67767
184	6901	67709
185	6937	67660
186	6975	67626
187	7012	67586
188	7048	67538
189	7084	67490
190	7121	67451
191	7157	67402
192	7194	67362
193	7231	67320
194	7266	67257
195	7302	67208
196	7376	67507
197	7411	67455
198	7446	67390
199	7481	67330
200	7516	67271
201	7550	67209
202	7584	67142
203	7617	67067
204	7652	67004
205	7687	66945
206	7722	66887
207	7757	66833
208	7793	66782
209	7828	66730
210	7864	66679
211	7898	66617
212	7933	66561
213	7968	66504
214	8003	66444
215	8038	66390
216	8104	66587
217	8145	66585
218	8179	66520
219	8213	66452
220	8249	66403
221	8283	66343
222	8317	66280
223	8351	66214
224	8388	66173
225	8423	66120
226	8476	66202
227	8526	66270
228	8562	66220
229	8597	66162
230	8630	66092
231	8663	66020
232	8697	65956
233	8732	65904
234	8766	65839
235	8800	65781
236	8835	65725
237	8870	65670
238	8904	65607
239	8938	65551
240	8973	65494
241	9008	65441
242	9043	65388
243	9078	65332
244	9112	65273
245	9147	65219
246	9181	65164
247	9216	65112
248	9253	65073
249	9288	65022
250	9324	64975
251	9362	64945
252	9397	64893
253	9432	64837
254	9467	64786
255	9502	64733
256	9537	64683
257	9573	64637
258	9609	64595
259	9646	64560
260	9683	64516
261	9720	64480
262	9757	64446
263	9794	64403
264	9828	64349
265	9863	64301
266	9900	64258
267	9935	64209
