iter	F1	Logloss	Precision:use_weights=true	Precision:use_weights=false	Recall:use_weights=true	Recall:use_weights=false
48	0.8990975842	0.4241786945	0.8166914445	0.3084247568	1	1
49	0.8993148678	0.4232711232	0.8170500731	0.3089363467	1	1
50	0.8986904604	0.4229665944	0.8160198638	0.3074700784	1	1
51	0.897958566	0.4229306517	0.8148137976	0.3057664683	1	1
52	0.8993963762	0.4209087759	0.8171846401	0.3091286307	1	1
53	0.8987718557	0.4208765922	0.8161540916	0.307660541	1	1
54	0.8995050771	0.4190599736	0.8173641316	0.3093853821	1	1
55	0.8992605371	0.4185177355	0.8169603865	0.3088082902	1	1
56	0.902231164	0.4144338492	0.821877188	0.3159457167	1	1
57	0.901657316	0.4144084445	0.8209253169	0.3145450707	1	1
58	0.9020398002	0.4132921971	0.8215596525	0.3154774508	1	1
59	0.903107005	0.4117910912	0.8233319103	0.3181041845	1	1
60	0.9042591302	0.4101129822	0.8252490667	0.3209823352	1	1
61	0.9065722219	0.4069584857	0.8291102897	0.3268977622	1	1
62	0.9067655138	0.4059808928	0.8294336899	0.3274005713	1	1
63	0.9086197721	0.4038545755	0.8325419033	0.3322925959	1	1
64	0.9083702518	0.4036497321	0.8321230283	0.3316269753	1	1
65	0.9078439366	0.4036334523	0.8312401194	0.3302304965	1	1
66	0.9074288552	0.4035438323	0.8305444084	0.3291362934	1	1
67	0.9093691561	0.4001013903	0.8338010622	0.3343055867	1	1
68	0.9092025195	0.3994900416	0.8335209201	0.3338561506	1	1
69	0.9125189258	0.3951305862	0.839112466	0.3430018416	1	1
70	0.9130786813	0.3940698823	0.8400595936	0.3445883441	1	1
71	0.9152120296	0.3908448915	0.8436782621	0.3507532957	1	1
72	0.9182891603	0.3871238381	0.8489229529	0.3599903358	1	1
73	0.9193951842	0.3845575654	0.8508153683	0.3634146341	1	1
74	0.9191397115	0.384119509	0.8503779085	0.362618642	1	1
75	0.9206177389	0.3823908072	0.8529116811	0.367266453	1	1
76	0.9230153891	0.3784409829	0.8570367485	0.3750314624	1	1
77	0.9256845402	0.3758762003	0.8616505811	0.3840206186	1	1
78	0.9254543291	0.3758622634	0.8612517403	0.3832304527	1	1
79	0.928137625	0.3720817596	0.8659111904	0.3926218709	1	1
80	0.9281086897	0.3712974689	0.8658608207	0.3925184405	1	1
81	0.9294125712	0.3691546506	0.8681332755	0.397227406	1	1
82	0.9292675146	0.3691444474	0.8678801916	0.3966986155	1	1
83	0.9311276657	0.3666239259	0.8711308505	0.4035752979	1	1
84	0.9308365263	0.3666091067	0.8706213309	0.4024851432	1	1
85	0.9308947396	0.3659811975	0.8707231871	0.4027027027	1	1
86	0.9304583173	0.365912446	0.8699598457	0.401076716	1	1
87	0.9332877703	0.3622437987	0.8749199121	0.4118297402	1	1
88	0.9336390023	0.3599373504	0.8755374627	0.4132002219	1	1
89	0.9360461812	0.3564024201	0.879780837	0.422814983	1	1
90	0.9369004745	0.3541633277	0.881291405	0.426323319	1	1
91	0.9368415077	0.3541295171	0.8811870614	0.4260794967	1	1
92	0.9379040477	0.3523176825	0.883069035	0.4305114129	1	1
93	0.9398879832	0.3489738555	0.8865930849	0.4390100177	1	1
94	0.9408979703	0.3454686308	0.8883921888	0.443452381	1	1
95	0.9407493067	0.3454299831	0.8881271569	0.4427934621	1	1
96	0.9425363766	0.3419514604	0.8913180138	0.4508320726	1	1
97	0.9447797844	0.3389887025	0.8953389733	0.4613003096	1	1
98	0.9473654051	0.3354188852	0.8999945563	0.4739185751	1	1
99	0.9481498928	0.333847344	0.9014116045	0.4778704298	1	1
100	0.9487542295	0.332513925	0.9025046818	0.4809554551	1	1
101	0.9486635299	0.3325092524	0.9023405512	0.4804901645	1	1
102	0.9499349047	0.3302467851	0.9046438254	0.4870872834	1	1
103	0.9498136746	0.3295533926	0.9044239595	0.4864511916	1	1
104	0.9527317637	0.3262204969	0.9097304117	0.5021907651	1	1
105	0.9525793374	0.3261858814	0.9094524973	0.501345895	1	1
106	0.9522746309	0.3260412623	0.9088971777	0.4996646546	1	1
107	0.9531283006	0.325001618	0.9104537846	0.5044008125	1	1
108	0.9545953008	0.3224300434	0.9131346946	0.512732278	1	1
109	0.9552691861	0.3210467479	0.9143687287	0.5166435506	1	1
110	0.9561589445	0.3191936508	0.9160005152	0.5218914186	1	1
111	0.9568657945	0.3175814754	0.9172988379	0.5261299435	1	1
112	0.9581284267	0.3139298422	0.9196223904	0.533858832	1	1
113	0.9591780177	0.3112258736	0.9215581858	0.54044251	1	1
114	0.9615635549	0.3076362826	0.9259724652	0.5559701493	1	1
115	0.9625273196	0.3059972939	0.9277616055	0.5624764062	1	1
116	0.9627452114	0.3054599013	0.9281665623	0.5639666919	1	1
117	0.9633371293	0.302528472	0.9292675146	0.568051849	1	1
118	0.964023418	0.3000553424	0.930545569	0.5728565936	1	1
119	0.9648982918	0.297864305	0.932177277	0.5790905558	1	1
120	0.9661195156	0.2963697485	0.9344595726	0.5880031571	1	1
121	0.9667469841	0.2943256218	0.9356343211	0.5926809865	1	1
122	0.9669667907	0.2936689087	0.9360461812	0.5943358596	1	1
123	0.9669039786	0.2936139011	0.9359284699	0.5938620965	1	1
124	0.9672809735	0.2912306615	0.9366351822	0.5967160593	1	1
125	0.9679728949	0.289500677	0.9379335971	0.602020202	1	1
126	0.968918021	0.2877971609	0.9397099753	0.609406953	1	1
127	0.9699597937	0.2859631111	0.9416717791	0.6177446103	1	1
128	0.9699281919	0.2859482357	0.9416122102	0.6174886034	1	1
129	0.9706872034	0.2840147533	0.9430439481	0.6236919213	1	1
130	0.9706239071	0.2840124311	0.9429244703	0.6231702217	1	1
131	0.971130509	0.282804001	0.9438811409	0.6273684211	1	1
132	0.9714157051	0.2818159918	0.9444201218	0.6297548605	1	1
133	0.9717962271	0.2801120615	0.9451397211	0.6329651657	1	1
134	0.9732258438	0.2776409475	0.9478480131	0.6453009961	1	1
135	0.9737351662	0.2763859805	0.9488147056	0.6498037505	1	1
136	0.9749469459	0.2734596643	0.9511185221	0.6607538803	1	1
137	0.9754900349	0.2724797384	0.9521528029	0.6657730116	1	1
138	0.975841768	0.2708166052	0.952823243	0.6690615177	1	1
139	0.9769305483	0.2683471215	0.9549014944	0.6794345645	1	1
140	0.9771550106	0.2673483852	0.9553304956	0.681610247	1	1
141	0.977090868	0.2673066181	0.9552078845	0.6809872029	1	1
142	0.9770587998	0.2669871852	0.9551465907	0.6806761078	1	1
143	0.977315404	0.2661629116	0.9556371611	0.6831728565	1	1
144	0.977572143	0.2655580639	0.9561282356	0.685687989	1	1
145	0.9777647858	0.2645281248	0.9564968729	0.6875865251	1	1
146	0.9777647858	0.2645269161	0.9564968729	0.6875865251	1	1
147	0.978407477	0.2623582076	0.9577277193	0.6939916162	1	1
148	0.9790832128	0.260015338	0.9590235219	0.7008466604	1	1
149	0.9789222387	0.2599978003	0.9587146795	0.6992022525	1	1
150	0.9792120302	0.2590684774	0.9592707391	0.7021677663	1	1
151	0.9805020712	0.2562914913	0.9617499394	0.7156580211	1	1
152	0.980954389	0.2550844201	0.9626206897	0.7205029014	1	1
153	0.9809220667	0.2546696713	0.962558441	0.7201546641	1	1
154	0.9815689167	0.2528400014	0.9638049474	0.7271839922	1	1
155	0.9820222195	0.2510319348	0.9646794245	0.7321867322	1	1
156	0.9828651793	0.2492208889	0.9663076706	0.7416625187	1	1
157	0.9831248428	0.2479109967	0.9668097758	0.7446276862	1	1
158	0.983254726	0.2462728312	0.9670610241	0.7461191788	1	1
159	0.9832872021	0.2455529515	0.9671238566	0.746492986	1	1
160	0.9845228879	0.243245009	0.969517556	0.7609805924	1	1
161	0.9844903301	0.2425796091	0.9694544121	0.7605921388	1	1
162	0.9854027642	0.2403865823	0.9712255558	0.7716209218	1	1
163	0.9855658769	0.2396773765	0.9715425126	0.7736240914	1	1
164	0.9856311371	0.2392720494	0.9716693533	0.7744282744	1	1
165	0.9856637704	0.2392595849	0.9717327861	0.7748309932	1	1
166	0.98634957	0.2371128493	0.9730667898	0.7833859096	1	1
167	0.986545688	0.2361713086	0.9734486068	0.7858649789	1	1
168	0.986611078	0.235172318	0.9735759457	0.7866948258	1	1
169	0.9870036002	0.2335933318	0.9743406793	0.7917109458	1	1
170	0.9872981969	0.2330037966	0.9749150183	0.7955152162	1	1
171	0.987069051	0.2327437013	0.9744682517	0.7925531915	1	1
172	0.9873964349	0.2318503005	0.9751066152	0.7967914439	1	1
173	0.9874619377	0.2309232025	0.9752343883	0.7976445396	1	1
174	0.9876257329	0.2293934934	0.9755539675	0.7997852925	1	1
175	0.9876257329	0.2293872328	0.9755539675	0.7997852925	1	1
176	0.9878223588	0.2285733853	0.9759377392	0.802369413	1	1
177	0.9882158456	0.2272620237	0.9767061891	0.8075880759	1	1
178	0.9882486503	0.2262432581	0.9767702812	0.8080260304	1	1
179	0.9884127066	0.2246735579	0.977090868	0.8102229473	1	1
180	0.9884455244	0.2241575802	0.9771550106	0.810663765	1	1
181	0.9886424769	0.2235605639	0.9775400432	0.8133187773	1	1
182	0.9886424769	0.2234964401	0.9775400432	0.8133187773	1	1
183	0.988609646	0.2234763474	0.9774758501	0.8128750682	1	1
184	0.988872354	0.2225566999	0.9779896316	0.8164383562	1	1
185	0.9889052023	0.2225293689	0.9780538923	0.8168859649	1	1
186	0.9891023381	0.2214465685	0.9784396338	0.8195819582	1	1
187	0.9895626273	0.2194964607	0.9793408816	0.8259423503	1	1
188	0.9895626273	0.2194959832	0.9793408816	0.8259423503	1	1
189	0.9894968455	0.2194934275	0.9792120302	0.8250276855	1	1
190	0.9896613165	0.2185389164	0.9795342221	0.8273181566	1	1
191	0.9900233451	0.2171178571	0.9802437912	0.8324022346	1	1
192	0.9900233451	0.2161957181	0.9802437912	0.8324022346	1	1
193	0.9901879912	0.2151001733	0.9805666625	0.8347338936	1	1
194	0.990220927	0.2143688383	0.9806312623	0.8352017937	1	1
195	0.9904515388	0.2137568779	0.9810836993	0.8384918402	1	1
196	0.9904515388	0.2137568303	0.9810836993	0.8384918402	1	1
197	0.9905174477	0.2127866625	0.9812130437	0.8394366197	1	1
198	0.9904185877	0.2120613472	0.9810190398	0.8380202475	1	1
199	0.9906492917	0.2112098959	0.9814718348	0.8413325805	1	1
200	0.990814146	0.2101083186	0.9817955157	0.8437146093	1	1
201	0.990946069	0.2084778276	0.9820546143	0.8456299659	1	1
202	0.9913090384	0.2073876859	0.9827678408	0.8509423187	1	1
203	0.9913750614	0.2073528981	0.9828976297	0.8519153802	1	1
204	0.9914410932	0.2068100553	0.9830274529	0.8528906697	1	1
205	0.9916392414	0.2056152784	0.9834171282	0.8558299828	1	1
206	0.9916392414	0.205605089	0.9834171282	0.8558299828	1	1
207	0.9916722738	0.2047365158	0.9834821041	0.8563218391	1	1
208	0.9920357755	0.2030714694	0.9841974064	0.8617698091	1	1
209	0.9919696645	0.203066379	0.9840672741	0.860774119	1	1
210	0.9923664629	0.2021070256	0.9848485848	0.8667830134	1	1
211	0.9925649812	0.2011304621	0.9852397055	0.8698190309	1	1
212	0.9926973709	0.1997812051	0.9855006253	0.8718548859	1	1
213	0.9926642702	0.1988680619	0.9854353824	0.8713450292	1	1
214	0.9926973709	0.1988358946	0.9855006253	0.8718548859	1	1
215	0.9928960216	0.1977893062	0.9858922643	0.8749266001	1	1
216	0.9928960216	0.1967149981	0.9858922643	0.8749266001	1	1
217	0.9929953768	0.1960278442	0.9860882005	0.8764705882	1	1
218	0.9929622562	0.1960180723	0.9860228798	0.8759553204	1	1
219	0.9929622562	0.194849533	0.9860228798	0.8759553204	1	1
220	0.9932604212	0.193117576	0.986611078	0.8806146572	1	1
221	0.9932935617	0.1929457255	0.9866764767	0.8811354228	1	1
