iter	Passed	Remaining
0	45	91910
1	81	81884
2	103	69049
3	126	63278
4	178	71398
5	197	65627
6	211	60168
7	260	64791
8	302	66822
9	348	69264
10	396	71742
11	434	71933
12	493	75448
13	671	95317
14	746	98745
15	789	97930
16	832	97100
17	874	96275
18	916	95506
19	966	95663
20	1018	95981
21	1058	95179
22	1096	94269
23	1136	93568
24	1182	93446
25	1229	93379
26	1269	92747
27	1310	92278
28	1348	91669
29	1392	91450
30	1448	91998
31	1490	91672
32	1530	91244
33	1569	90731
34	1612	90552
35	1652	90126
36	1720	91278
37	1872	96675
38	1916	96369
39	1960	96043
40	2004	95775
41	2045	95369
42	2092	95245
43	2136	94962
44	2179	94686
45	2219	94287
46	2259	93899
47	2298	93482
48	2338	93097
49	2378	92751
50	2420	92514
51	2459	92143
52	2497	91756
53	2536	91408
54	2578	91178
55	2622	91026
56	2661	90715
57	2713	90862
58	2760	90812
59	2808	90795
60	2885	91727
61	3029	94688
62	3072	94452
63	3117	94319
64	3163	94175
65	3210	94069
66	3255	93929
67	3301	93801
68	3346	93665
69	3392	93524
70	3452	93807
71	3493	93552
72	3533	93266
73	3571	92959
74	3610	92657
75	3649	92382
76	3687	92090
77	3730	91920
78	3768	91647
79	3810	91463
80	3854	91325
81	3904	91337
82	3952	91284
83	3997	91189
84	4093	92222
85	4214	93798
86	4264	93761
87	4312	93690
88	4357	93571
89	4407	93535
90	4457	93516
91	4510	93548
92	4567	93658
93	4620	93678
94	4668	93624
95	4716	93540
96	4759	93368
97	4803	93224
98	4843	93002
99	4891	92932
100	4937	92834
101	4978	92632
102	5018	92430
103	5067	92376
104	5115	92328
105	5163	92256
106	5358	94807
107	5516	96635
108	5562	96504
109	5604	96300
110	5646	96088
111	5688	95891
112	5734	95761
113	5786	95730
114	5833	95619
115	5872	95370
116	5923	95337
117	5963	95118
118	6003	94891
119	6043	94679
120	6085	94500
121	6125	94294
122	6166	94098
123	6206	93893
124	6246	93699
125	6289	93538
126	6338	93481
127	6386	93396
128	6425	93191
129	6464	92984
130	6517	92990
131	6691	94698
132	6733	94527
133	6779	94408
134	6822	94252
135	6865	94093
136	6909	93958
137	6953	93823
138	6998	93703
139	7053	93704
140	7102	93636
141	7150	93556
142	7197	93464
143	7246	93393
144	7295	93330
145	7333	93129
146	7385	93103
147	7438	93075
148	7484	92984
149	7526	92825
150	7578	92797
151	7618	92623
152	7674	92651
153	7854	94155
154	7897	94010
155	7942	93879
156	7985	93738
157	8029	93613
158	8073	93480
159	8119	93369
160	8168	93303
161	8211	93169
162	8263	93133
163	8310	93039
164	8356	92936
165	8395	92750
166	8436	92597
167	8484	92525
168	8524	92357
169	8563	92182
170	8603	92020
171	8649	91927
172	8693	91808
173	8733	91652
174	8777	91532
175	8836	91575
176	8971	92398
177	9082	92972
178	9126	92848
179	9172	92742
180	9217	92635
181	9278	92682
182	9324	92579
183	9370	92485
184	9416	92386
185	9464	92302
186	9512	92225
187	9551	92062
188	9607	92058
189	9646	91890
190	9687	91753
191	9726	91591
192	9766	91437
193	9809	91322
194	9854	91215
195	9902	91145
196	9954	91106
197	10004	91053
198	10057	91021
199	10242	92180
200	10283	92043
201	10326	91913
202	10375	91845
203	10418	91727
204	10462	91611
205	10508	91512
206	10553	91413
207	10594	91273
208	10633	91123
209	10679	91029
210	10718	90879
211	10759	90745
212	10798	90599
213	10840	90471
214	10886	90382
215	10932	90296
216	10969	90134
217	11028	90151
218	11074	90065
219	11115	89933
220	11155	89797
221	11203	89730
222	11295	90006
223	11445	90745
224	11490	90643
225	11532	90526
226	11584	90484
227	11633	90412
228	11680	90331
229	11728	90258
230	11778	90200
231	11835	90196
232	11875	90062
233	11916	89930
234	11956	89800
235	11996	89671
236	12039	89559
237	12078	89424
238	12117	89287
239	12156	89149
240	12196	89016
241	12242	88936
242	12287	88845
243	12343	88833
244	12384	88713
245	12425	88595
246	12609	89493
247	12653	89392
248	12698	89295
249	12742	89194
250	12790	89122
251	12837	89047
252	12881	88947
253	12932	88898
254	12991	88901
255	13032	88786
256	13074	88671
257	13115	88556
258	13155	88433
259	13198	88326
260	13239	88211
261	13278	88085
262	13316	87951
263	13356	87829
264	13402	87748
265	13456	87720
266	13498	87613
267	13555	87605
268	13612	87597
269	13914	89157
270	13957	89049
271	13998	88934
272	14041	88824
273	14084	88722
274	14134	88663
275	14178	88564
276	14232	88532
277	14272	88407
278	14325	88365
279	14369	88270
280	14408	88144
281	14446	88010
282	14485	87882
283	14523	87755
284	14579	87731
285	14617	87604
286	14658	87493
287	14702	87398
288	14744	87293
289	14785	87185
290	14825	87065
291	14864	86949
292	14904	86830
293	15097	87609
294	15142	87519
295	15188	87434
296	15231	87338
297	15274	87241
298	15320	87156
299	15363	87060
300	15406	86962
301	15456	86903
302	15498	86804
303	15538	86686
